,year_state,year,state_id,total_non_renew_gen,total_renew_gen,total_generation,PercentageRenewable,PercentageNonRenewable
221,2010_KY,2010,KY,95220547.9154,3020120.742,98240668.6574,3.0742062154851886,96.92579378451481
222,2010_LA,2010,LA,100146121.6715,3576570.433,103722692.1045,3.448204400052234,96.55179559994777
223,2010_MA,2010,MA,41119528.2902,1871547.228,42991075.5182,4.35333893242027,95.64666106757973
224,2010_MD,2010,MD,41386443.3784,2220740.1666,43607183.545,5.092601690976738,94.90739830902325
225,2010_ME,2010,ME,9068746.157,7949913.481,17018659.638,46.71292363852844,53.28707636147156
226,2010_MI,2010,MI,108501204.5962,3050166.6938,111551371.29,2.734315731422507,97.26568426857749
227,2010_MN,2010,MN,46205442.5137,7432174.9723,53637617.486,13.856273489850434,86.14372651014956
228,2010_MO,2010,MO,88897933.167,3414630.248,92312563.41499999,3.6989875718749157,96.30101242812509
229,2010_MS,2010,MS,52981786.744,1504264.936,54486051.68,2.760825733592594,97.23917426640742
230,2010_MT,2010,MT,19382691.246,10344895.32,29727586.566,34.798974673011806,65.20102532698819
231,2010_NC,2010,NC,122191821.9513,7238370.837,129430192.7883,5.592490191866825,94.40750980813317
232,2010_ND,2010,ND,28589395.86,6120398.0,34709793.86,17.63305776083339,82.36694223916662
233,2010_NE,2010,NE,34822997.104,1807009.096,36630006.2,4.933138930235835,95.06686106976416
234,2010_NH,2010,NH,19490378.112,2705533.8479999998,22195911.96,12.189334021849309,87.81066597815068
235,2010_NJ,2010,NJ,65041306.546,641187.084,65682493.629999995,0.9761917499842645,99.02380825001573
236,2010_NM,2010,NM,34222447.4008,2071801.638,36294249.03879999,5.708346894807389,94.29165310519262
237,2010_NV,2010,NV,30702304.86,4443942.83,35146247.69,12.644145882077803,87.3558541179222
238,2010_NY,2010,NY,107265052.8916,29645428.5504,136910481.442,21.65314754441122,78.34685245558877
239,2010_OH,2010,OH,142469156.76,1127188.281,143596345.04099998,0.7849700357471928,99.2150299642528
240,2010_OK,2010,OK,65502380.0479,6815825.54,72318205.5879,9.4247713761587,90.5752286238413
241,2010_OR,2010,OR,19822274.3292,35304724.8188,55126999.148,64.04252973033606,35.95747026966395
242,2010_PA,2010,PA,223882947.337,5869008.631,229751955.96800002,2.55449778709063,97.44550221290936
243,2010_RI,2010,RI,7594940.0,143779.0,7738719.0,1.857917311637753,98.14208268836224
244,2010_SC,2010,SC,100838325.874,3314806.845,104153132.719,3.1826280770096327,96.81737192299038
245,2010_SD,2010,SD,3439085.5,6610550.63,10049636.129999999,65.779004776763,34.220995223237004
246,2010_TN,2010,TN,73932689.271,8005192.556,81937881.82699999,9.76983097134706,90.23016902865295
247,2010_TX,2010,TX,382142197.228,28841562.549,410983759.777,7.0176891088468905,92.9823108911531
248,2010_UT,2010,UT,40773188.0412,1476166.5508,42249354.592,3.4939387004967766,96.50606129950322
249,2010_VA,2010,VA,70765766.2598,2200689.7272,72966455.987,3.0160293485983254,96.98397065140168
250,2010_VT,2010,VT,4790764.405,1829225.595,6619990.0,27.63184831094911,72.36815168905089
251,2010_WA,2010,WA,28393224.139,74884766.334,103277990.473,72.50796223961886,27.492037760381137
252,2010_WI,2010,WI,59729112.6242,4584954.4608,64314067.085,7.129007180871244,92.87099281912874
253,2010_WV,2010,WV,78482414.234,2306533.0,80788947.234,2.855010591138507,97.14498940886149
254,2010_WY,2010,WY,43848573.795,4270680.04,48119253.835,8.875200049119798,91.1247999508802
255,2012_AK,2012,AK,5331416.124,1596878.372,6928294.495999999,23.048650326887028,76.95134967311297
256,2012_AL,2012,AL,142440381.845,10664835.108,153105216.953,6.9656902098077245,93.03430979019227
257,2012_AR,2012,AR,61104425.809,3901252.0640000002,65005677.873,6.001402018484878,93.99859798151512
258,2012_AZ,2012,AZ,102386504.087,8227609.274,110614113.361,7.438118901833432,92.56188109816657
259,2012_CA,2012,CA,141942134.832531,57247520.930569,199189655.7631,28.740207773969225,71.25979222603078
260,2012_CO,2012,CO,45111878.115,7436032.498,52547910.613000005,14.150957500031168,85.84904249996882
261,2012_CT,2012,CT,34554598.994173,1002738.406827,35557337.401,2.820060443555032,97.17993955644496
262,2012_DC,2012,DC,71786.78,0.0,71786.78,0.0,100.0
263,2012_DE,2012,DE,8502772.6398,131050.618,8633823.2578,1.5178746898902034,98.4821253101098
264,2012_FL,2012,FL,216376519.016228,4723410.536372,221099929.5526,2.136323854073546,97.86367614592645
265,2012_GA,2012,GA,117367144.664,4647599.589,122014744.253,3.8090475191777715,96.19095248082222
266,2012_HI,2012,HI,9424773.38976,1044495.30824,10469268.698,9.976774294077822,90.02322570592217
267,2012_IA,2012,IA,41738570.5973,14863575.0537,56602145.651,26.259737829280333,73.74026217071966
268,2012_ID,2012,ID,2044182.406,13454906.91,15499089.316,86.81095150610074,13.189048493899266
269,2012_IL,2012,IL,189081494.746,8440506.212,197522000.958,4.273198008861171,95.72680199113883
270,2012_IN,2012,IN,110898558.61216,3980408.73724,114878967.3494,3.4648716201754657,96.53512837982453
271,2012_KS,2012,KS,39161638.612,5124986.0,44286624.612,11.57231115466705,88.42768884533295
272,2012_KY,2012,KY,87262790.757,2694661.453,89957452.21,2.995484406016172,97.00451559398383
273,2012_LA,2012,LA,100237616.17300001,3109986.2260000003,103347602.399,3.009248549369436,96.99075145063057
274,2012_MA,2012,MA,33719335.34123,2478786.16977,36198121.511,6.847830954478503,93.15216904552149
275,2012_MD,2012,MD,35244766.07096,2563581.14104,37808347.212,6.780463389910746,93.21953661008926
276,2012_ME,2012,ME,6590801.750326,7829333.651674,14420135.401999999,54.29445309222347,45.70554690777654
277,2012_MI,2012,MI,103932650.87304,4233426.56796,108166077.441,3.913820920675573,96.08617907932442
278,2012_MN,2012,MN,42169320.11129,10024304.10971,52193624.221,19.205993565928196,80.7940064340718
279,2012_MO,2012,MO,89758029.513,2046291.897,91804321.41,2.2289712135240545,97.77102878647594
280,2012_MS,2012,MS,53075105.249,1509189.929,54584295.177999996,2.764879392650422,97.23512060734959
281,2012_MT,2012,MT,15259566.213,12535450.87,27795017.082999997,45.09963362342,54.90036637658001
282,2012_NC,2012,NC,110249906.019,6721320.592,116971226.611,5.746131580164113,94.25386841983588
283,2012_ND,2012,ND,28367876.886,7757282.0,36125158.886,21.473350537999348,78.52664946200065
284,2012_NE,2012,NE,31613476.71,2587338.206,34200814.916,7.565136130103081,92.43486386989692
285,2012_NH,2012,NH,16591490.412,2672944.53,19264434.942,13.87502170734575,86.12497829265425
286,2012_NJ,2012,NJ,64119888.952,1112675.166,65232564.118,1.7057050892362102,98.2942949107638
287,2012_NM,2012,NM,33839239.022,2796670.308,36635909.33,7.633686072341855,92.36631392765815
288,2012_NV,2012,NV,29764217.976,5378556.0,35142773.975999996,15.304870365877122,84.69512963412289
289,2012_NY,2012,NY,106304663.84071401,29357862.623286,135662526.46400002,21.640362588320606,78.35963741167939
290,2012_OH,2012,OH,127592948.12900001,2148470.216,129741418.34500001,1.6559632563033393,98.34403674369666
291,2012_OK,2012,OK,68345008.8717,9412658.805,77757667.6767,12.10511977305679,87.89488022694322
292,2012_OR,2012,OR,14305639.370765,46306920.039235,60612559.410000004,76.39822586273296,23.60177413726704
293,2012_PA,2012,PA,217133004.884575,6283426.467425,223416431.352,2.8124280874960594,97.18757191250394
294,2012_RI,2012,RI,8202874.853,106161.0,8309035.853,1.277657262264313,98.72234273773569
295,2012_SC,2012,SC,94087970.723,2667711.622,96755682.345,2.7571627395358433,97.24283726046417
296,2012_SD,2012,SD,3138574.954,8879147.0,12017721.954,73.88377792385727,26.116222076142737
297,2012_TN,2012,TN,68755084.918,8630851.623,77385936.541,11.15299757137044,88.84700242862957
298,2012_TX,2012,TX,395315408.4018,34381942.292,429697350.6938,8.001432225841297,91.9985677741587
299,2012_UT,2012,UT,37552750.48001,1847670.27799,39400420.758,4.689468392580154,95.31053160741985
300,2012_VA,2012,VA,68688345.64169,2050889.10531,70739234.747,2.899224330945956,97.10077566905404
301,2012_VT,2012,VT,4995296.522,1572824.48,6568121.002,23.946338374720458,76.05366162527953
302,2012_WA,2012,WA,19110833.704,97723589.957,116834423.661,83.64280568589024,16.357194314109762
303,2012_WI,2012,WI,58994570.052084,4748339.848916,63742909.901,7.4492047135763215,92.55079528642366
304,2012_WV,2012,WV,70685401.252,2728002.952,73413404.20400001,3.7159466742878027,96.2840533257122
305,2012_WY,2012,WY,44326029.105,5262577.0,49588606.105,10.612472124860506,89.3875278751395
306,2014_AK,2014,AK,4291935.949,1753206.682,6045142.631,29.001907630920215,70.99809236907979
307,2014_AL,2014,AL,137074382.466,12173720.241,149248102.707,8.156700165830003,91.84329983417
308,2014_AR,2014,AR,57355074.021,4237062.648,61592136.669,6.87922659798318,93.12077340201682
309,2014_AZ,2014,AZ,102219682.662,9961538.65,112181221.312,8.879862898171547,91.12013710182845
310,2014_CA,2014,CA,139358008.069,58256721.482,197614729.551,29.479948996901683,70.52005100309832
311,2014_CO,2014,CO,44555457.284,9291922.723,53847380.007,17.25603496733189,82.74396503266811
312,2014_CT,2014,CT,32467392.221,1197567.22,33664959.441,3.557310746501309,96.4426892534987
313,2014_DC,2014,DC,67612.16,0.0,67612.16,0.0,100.0
314,2014_DE,2014,DE,7467167.066,131080.38,7598247.4459999995,1.7251396579484337,98.27486034205157
315,2014_FL,2014,FL,224693162.407,5270593.867,229963756.27400002,2.2919237154571994,97.7080762845428
316,2014_GA,2014,GA,119240146.11299999,6565461.476,125805607.58899999,5.218735159603539,94.78126484039646
317,2014_HI,2014,HI,8904325.372,1299832.92,10204158.292,12.738266918292137,87.26173308170786
318,2014_IA,2014,IA,39401677.97,17444490.719,56846168.688999996,30.687188110138358,69.31281188986165
319,2014_ID,2014,ID,2647199.759,12455388.351,15102588.11,82.47188005314673,17.52811994685327
320,2014_IL,2014,IL,191306654.913,10827402.36,202134057.273,5.3565453076403795,94.64345469235961
321,2014_IN,2014,IN,111035532.038,4313488.643,115349020.68100001,3.7395104158959773,96.26048958410401
322,2014_KS,2014,KS,38807470.483,10920291.693,49727762.176,21.960151060790015,78.03984893920999
323,2014_KY,2014,KY,87304878.773,3591556.37,90896435.143,3.951262075734538,96.04873792426545
324,2014_LA,2014,LA,100311302.503,3869642.1520000002,104180944.655,3.714347345202617,96.28565265479739
325,2014_MA,2014,MA,28871116.683,2141271.251,31012387.934,6.904567476574247,93.09543252342574
326,2014_MD,2014,MD,35229255.043,2590189.95,37819444.993,6.848831204369652,93.15116879563034
327,2014_ME,2014,ME,5133746.63,8112048.852,13245795.482,61.242443785453574,38.75755621454642
328,2014_MI,2014,MI,99185783.02,7561799.2,106747582.22,7.083813087602876,92.91618691239712
329,2014_MN,2014,MN,44992844.79,11988479.084,56981323.874,21.039313004572403,78.9606869954276
330,2014_MO,2014,MO,85862342.334,1971635.579,87833977.913,2.2447299164258676,97.75527008357415
331,2014_MS,2014,MS,53619142.997999996,1507948.5590000001,55127091.557,2.7354038031206853,97.26459619687931
332,2014_MT,2014,MT,16788062.077,13469554.08,30257616.156999998,44.51624348101152,55.48375651898848
333,2014_NC,2014,NC,120032711.531,8104317.671,128137029.202,6.324727302850178,93.67527269714981
334,2014_ND,2014,ND,27726083.715,8736424.0,36462507.715,23.96001961325879,76.0399803867412
335,2014_NE,2014,NE,35472233.042,3958905.253,39431138.295,10.04004810457628,89.95995189542371
336,2014_NH,2014,NH,16204644.245,3333750.712,19538394.957,17.062561788401258,82.93743821159875
337,2014_NJ,2014,NJ,65231064.823,1313234.93,66544299.753,1.973474715151384,98.02652528484862
338,2014_NM,2014,NM,29394444.32,2911100.638,32305544.958,9.0111485250742,90.98885147492581
339,2014_NV,2014,NV,29344847.009,6456172.0,35801019.009,18.033486695942887,81.9665133040571
340,2014_NY,2014,NY,104781204.41600001,32041991.55,136823195.96600002,23.41853756870458,76.5814624312954
341,2014_OH,2014,OH,131980432.393,2503800.704,134484233.097,1.8617801108283625,98.13821988917164
342,2014_OK,2014,OK,56557641.126,13446121.115,70003762.241,19.20771210654281,80.7922878934572
343,2014_OR,2014,OR,15943114.791,44167697.386,60110812.177,73.47712630457477,26.522873695425233
344,2014_PA,2014,PA,212900764.874,8142927.336,221043692.21,3.6838541985011295,96.31614580149888
345,2014_RI,2014,RI,6009300.106,230378.35,6239678.455999999,3.6921509918266855,96.30784900817332
346,2014_SC,2014,SC,93031339.174,4127126.26,97158465.434,4.247829812424906,95.75217018757509
347,2014_SD,2014,SD,3160732.456,7834507.26,10995239.716,71.25362850069943,28.74637149930056
348,2014_TN,2014,TN,69956421.188,9550465.553,79506886.741,12.012123659314444,87.98787634068556
349,2014_TX,2014,TX,394935332.072,42322715.251,437258047.323,9.679116373068476,90.32088362693152
350,2014_UT,2014,UT,41895404.55,1889121.166,43784525.716,4.31458634096764,95.68541365903236
351,2014_VA,2014,VA,73625801.381,3511637.165,77137438.546,4.552442019326162,95.44755798067382
352,2014_VT,2014,VT,5068519.577,1956213.423,7024733.0,27.84751282361906,72.15248717638093
353,2014_WA,2014,WA,27767804.296,88504698.384,116272502.68,76.11833954204863,23.881660457951362
354,2014_WI,2014,WI,55299999.114,5734164.118,61034163.232,9.395007344007622,90.60499265599238
355,2014_WV,2014,WV,77664211.033,2693357.0,80357568.033,3.3517154213700615,96.64828457862994
356,2014_WY,2014,WY,44421716.039,5274467.15,49696183.188999996,10.613425038982626,89.38657496101737
357,2016_AK,2016,AK,4463563.883,1871469.626,6335033.509000001,29.54159000644995,70.45840999355005
358,2016_AL,2016,AL,132033788.291,10829451.789,142863240.07999998,7.580292721161698,92.41970727883832
359,2016_AR,2016,AR,55440279.51,5004779.891,60445059.401,8.2798824926247,91.72011750737529
360,2016_AZ,2016,AZ,97015271.518,11720012.01,108735283.52800001,10.778481123822171,89.22151887617783
361,2016_CA,2016,CA,118317752.804,79006083.402,197323836.206,40.03879354925985,59.96120645074016
362,2016_CO,2016,CO,42688476.889,11730003.06,54418479.949,21.55518322267205,78.44481677732796
363,2016_CT,2016,CT,34796100.449,1700459.478,36496559.927,4.659232216409545,95.34076778359045
364,2016_DC,2016,DC,23702.623,52771.377,76474.0,69.00564505583597,30.994354944164026
365,2016_DE,2016,DE,8606867.038999999,124393.55,8731260.589,1.4246917582177778,98.57530824178221
366,2016_FL,2016,FL,231728952.002,6497476.186,238226428.188,2.727437184623537,97.27256281537646
367,2016_GA,2016,GA,125546425.075,7355849.86,132902274.935,5.53478099874333,94.46521900125667
368,2016_HI,2016,HI,8313927.318,1634917.732,9948845.05,16.433241484648512,83.56675851535148
369,2016_IA,2016,IA,33151853.052,21244677.553,54396530.605000004,39.05520686101852,60.94479313898148
370,2016_ID,2016,ID,3415881.976,12245056.401,15660938.377,78.1885229749921,21.811477025007896
371,2016_IL,2016,IL,176125292.157,11312090.011,187437382.168,6.035130175292878,93.96486982470712
372,2016_IN,2016,IN,95755267.062,6003791.804,101759058.86600001,5.900007204180228,94.09999279581976
373,2016_KS,2016,KS,33397637.59,14202353.0,47599990.59,29.83688194884578,70.16311805115421
374,2016_KY,2016,KY,76318944.20899999,3954556.62,80273500.829,4.926353752060802,95.0736462479392
375,2016_LA,2016,LA,102862820.754,3979295.687,106842116.441,3.724463553843426,96.27553644615658
376,2016_MA,2016,MA,28855991.839,3095676.87,31951668.709000003,9.688623458742935,90.31137654125706
377,2016_MD,2016,MD,34168713.429,2998032.715,37166746.143999994,8.066438486125014,91.93356151387499
378,2016_ME,2016,ME,3929219.482,7585207.59,11514427.072,65.87568397949379,34.12431602050621
379,2016_MI,2016,MI,103969119.523,8152670.907,112121790.43,7.27126357484443,92.72873642515556
380,2016_MN,2016,MN,46144231.048,13892243.295,60036474.343,23.139672086057093,76.86032791394291
381,2016_MO,2016,MO,75870631.83,2740880.296,78611512.126,3.486614392567422,96.51338560743258
382,2016_MS,2016,MS,61357094.314,1524200.656,62881294.970000006,2.4239333123263123,97.57606668767367
383,2016_MT,2016,MT,15540658.657,12242870.24,27783528.897,44.06520959013942,55.93479040986058
384,2016_NC,2016,NC,120378700.554,10389452.024,130768152.57800001,7.94494058314615,92.05505941685385
385,2016_ND,2016,ND,27766918.718,10089533.0,37856451.717999995,26.652083177680986,73.34791682231902
386,2016_NE,2016,NE,31768227.873,5429615.289,37197843.162,14.596586327205936,85.40341367279406
387,2016_NH,2016,NH,15966414.425,3316078.674,19282493.099,17.19735439278842,82.80264560721159
388,2016_NJ,2016,NJ,75428157.274,2170040.303,77598197.577,2.7965086442203613,97.20349135577963
389,2016_NM,2016,NM,28374784.085,4547767.392,32922551.477,13.813532633329201,86.1864673666708
390,2016_NV,2016,NV,31121197.998,8107496.0,39228693.997999996,20.66725953306869,79.33274046693131
391,2016_NY,2016,NY,100479047.702,33611784.954,134090832.65600002,25.066430186341314,74.93356981365868
392,2016_OH,2016,OH,116388762.639,2533314.693,118922077.332,2.130230777862746,97.86976922213725
393,2016_OK,2016,OK,55726666.007,22928341.2,78655007.207,29.15051693995581,70.84948306004418
394,2016_OR,2016,OR,17209241.134,42972570.064,60181811.198,71.40458090006453,28.595419099935476
395,2016_PA,2016,PA,206551615.914,8514892.875,215066508.789,3.9591905420075855,96.04080945799241
396,2016_RI,2016,RI,6316786.014,248099.1,6564885.114,3.7791841851263204,96.22081581487369
397,2016_SC,2016,SC,93354965.119,3630798.368,96985763.487,3.743640548323026,96.25635945167697
398,2016_SD,2016,SD,3004034.73,7285381.0,10289415.73,70.80461312063245,29.19538687936754
399,2016_TN,2016,TN,72220787.032,7119846.217,79340633.24900001,8.973770343696792,91.02622965630319
400,2016_TX,2016,TX,392655047.7,61286294.332,453941342.032,13.500928128216113,86.49907187178388
401,2016_UT,2016,UT,34924494.358,3209433.667,38133928.025000006,8.416215777446125,91.58378422255386
402,2016_VA,2016,VA,87671511.34,4883305.551,92554816.891,5.276122534768745,94.72387746523125
403,2016_VT,2016,VT,5982.171,1905224.923,1911207.094,99.68699514465071,0.3130048553492864
404,2016_WA,2016,WA,25632937.041,88453645.178,114086582.21900001,77.53203177583569,22.4679682241643
405,2016_WI,2016,WI,59170896.659,5795714.465,64966611.124,8.921066321187475,91.07893367881253
406,2016_WV,2016,WV,72872566.87099999,3070401.0,75942967.87099999,4.043035301458742,95.95696469854126
407,2016_WY,2016,WY,41293804.278,5362826.19,46656630.467999995,11.494242374999967,88.50575762500003
408,2018_AK,2018,AK,4379586.247,1864713.905,6244300.152000001,29.862656496464968,70.13734350353504
409,2018_AL,2018,AL,128274489.546,14946770.028,143221259.574,10.436139210378371,89.56386078962163
410,2018_AR,2018,AR,63381227.773,4618123.705,67999351.478,6.791423160107804,93.2085768398922
411,2018_AZ,2018,AZ,98776307.375,12862782.54,111639089.91499999,11.521755103694854,88.47824489630514
412,2018_CA,2018,CA,110270599.652,84942259.987,195212859.639,43.51263546063544,56.48736453936456
413,2018_CO,2018,CO,42841126.981,12534604.569,55375731.55,22.6355557175479,77.3644442824521
414,2018_CT,2018,CT,37556607.678,1896943.897,39453551.575,4.808043436581285,95.19195656341871
415,2018_DC,2018,DC,18328.0,56561.0,74889.0,75.52644580646023,24.473554193539773
416,2018_DE,2018,DE,6126547.227,114096.71,6240643.937,1.8282842468152176,98.17171575318478
417,2018_FL,2018,FL,234247025.60300002,9209160.881000001,243456186.48400003,3.782676880796877,96.21732311920312
418,2018_GA,2018,GA,119034190.533,10198702.141999999,129232892.67500001,7.8917231758079565,92.10827682419203
419,2018_HI,2018,HI,8304785.837,1491987.101,9796772.938000001,15.229373084812838,84.77062691518715
420,2018_IA,2018,IA,40735666.204,22456298.607,63191964.811000004,35.53663614379493,64.46336385620506
421,2018_ID,2018,ID,3363109.34,14809010.331,18172119.671,81.49302667554505,18.506973324454947
422,2018_IL,2018,IL,175465365.987,12524852.25,187990218.237,6.662502106471237,93.33749789352876
423,2018_IN,2018,IN,107019569.175,6431581.911,113451151.086,5.669031869165112,94.33096813083489
424,2018_KS,2018,KS,32678545.009,19005200.2,51683745.209,36.77210334341349,63.227896656586516
425,2018_KY,2018,KY,73916673.425,4887822.884,78804496.309,6.202467007509795,93.79753299249019
426,2018_LA,2018,LA,98004747.409,3857676.724,101862424.133,3.787144039457669,96.21285596054233
427,2018_MA,2018,MA,23288079.642,3835362.542,27123442.184,14.140397505529235,85.85960249447076
428,2018_MD,2018,MD,39142255.386,4641267.865,43783523.251,10.60048968282605,89.39951031717395
429,2018_ME,2018,ME,2855375.6720000003,8425323.95,11280699.622,74.6879558211855,25.312044178814503
430,2018_MI,2018,MI,106737600.217,9097322.899,115834923.116,7.853696151625804,92.14630384837419
431,2018_MN,2018,MN,46672194.345,14753334.556,61425528.901,24.018245866108963,75.98175413389103
432,2018_MO,2018,MO,77370077.626,3934151.35,81304228.976,4.838802851400648,95.16119714859937
433,2018_MS,2018,MS,61708633.474,1765137.952,63473771.426,2.780893449915547,97.21910655008446
434,2018_MT,2018,MT,14599487.405,13595687.0,28195174.405,48.219907437738726,51.780092562261274
435,2018_NC,2018,NC,118354661.766,15807845.22,134162506.986,11.782610190527794,88.2173898094722
436,2018_ND,2018,ND,28701215.877,13911326.0,42612541.877000004,32.6460834938096,67.35391650619039
437,2018_NE,2018,NE,29914611.805,7051604.037,36966215.842,19.075807129244104,80.92419287075589
438,2018_NH,2018,NH,13867501.776,3195533.59,17063035.366,18.727814374501367,81.27218562549864
439,2018_NJ,2018,NJ,72637201.185,2338349.229,74975550.414,3.118815688698653,96.88118431130135
440,2018_NM,2018,NM,24913047.716,7621795.755,32534843.470999997,23.426563468159003,76.573436531841
